hsk,characters,pinyin,english,extra,len,c1,c2,p1,p2,pinyin_num
4,职业,zhíyè,occupation; profession; vocation; professional,,2,职,业,zhi2,ye4,zhi2 ye4
5,执照,zhízhào,a license; a permit,,2,执,照,zhi2,zhao4,zhi2 zhao4
3,只,zhǐ,only; merely; just; but,,1,只,,zhi3,,zhi3
4,指,zhǐ,finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end,,1,指,,zhi3,,zhi3
6,指标,zhǐbiāo,norm; index; target,,2,指,标,zhi3,biao1,zhi3 biao1
5,指导,zhǐdǎo,to guide; to give directions; to direct; to coach; guidance; tuition; CL:個|个[ge4],,2,指,导,zhi3,dao3,zhi3 dao3
6,指定,zhǐdìng,to appoint; to assign; to indicate clearly and with certainty; designated,,2,指,定,zhi3,ding4,zhi3 ding4
4,只好,zhǐhǎo,without any better option; to have to; to be forced to,,2,只,好,zhi3,hao3,zhi3 hao3
5,指挥,zhǐhuī,to conduct; to command; to direct; conductor (of an orchestra); CL:個|个[ge4],,2,指,挥,zhi3,hui1,zhi3 hui1
6,指甲,zhǐjia,fingernail,,2,指,甲,zhi3,jia5,zhi3 jia5
6,指令,zhǐlìng,order; command; instruction,,2,指,令,zhi3,ling4,zhi3 ling4
6,指南针,zhǐnánzhēn,compass,,3,指,南,zhi3,nan2,zhi3 nan2 zhen1
6,指示,zhǐshì,to point out; to indicate; to instruct; directives; instructions; CL:個|个[ge4],,2,指,示,zhi3,shi4,zhi3 shi4
6,指望,zhǐwàng,to hope for sth; to count on; hope,,2,指,望,zhi3,wang4,zhi3 wang4
4,只要,zhǐyào,if only; so long as,,2,只,要,zhi3,yao4,zhi3 yao4
6,指责,zhǐzé,to criticize; to find fault with; to denounce,,2,指,责,zhi3,ze2,zhi3 ze2
6,治安,zhì'ān,law and order; public security,,2,治,安,zhi4,an1,zhi4 an1
6,制裁,zhìcái,to punish; punishment; sanctions (incl. economic),,2,制,裁,zhi4,cai2,zhi4 cai2
6,致辞,zhìcí,"to express in words or writing; to make a speech (esp. short introduction, vote of thanks, afterword, funeral homily etc); to address (an audience); same as 致詞|致词",,2,致,辞,zhi4,ci2,zhi4 ci2
5,制定,zhìdìng,to draw up; to formulate,,2,制,定,zhi4,ding4,zhi4 ding4
6,制订,zhìdìng,to work out; to formulate,,2,制,订,zhi4,ding4,zhi4 ding4
5,制度,zhìdù,"system (e.g. political, adminstrative etc); institution; CL:個|个[ge4]",,2,制,度,zhi4,du4,zhi4 du4
6,制服,zhìfú,"to subdue; to check; to bring under control; (in former times) what one is allowed to wear depending on social status; uniform (army, party, school etc); livery (for company employees); CL:套[tao4]",,2,制,服,zhi4,fu2,zhi4 fu2
5,智慧,zhìhuì,wisdom; knowledge; intelligent; intelligence,,2,智,慧,zhi4,hui4,zhi4 hui4
5,至今,zhìjīn,until now,,2,至,今,zhi4,jin1,zhi4 jin1
6,治理,zhìlǐ,to govern; to administer; to manage; to control,,2,治,理,zhi4,li3,zhi4 li3
6,智力,zhìlì,intelligence; intellect,,2,智,力,zhi4,li4,zhi4 li4
6,致力于,zhìlìyú,to devote to; to dedicate to,,3,致,力,zhi4,li4,zhi4 li4 yu2
4,质量,zhìliàng,quality; mass (in physics); CL:個|个[ge4],,2,质,量,zhi4,liang4,zhi4 liang4
5,治疗,zhìliáo,to treat; to cure; medical treatment; cure,,2,治,疗,zhi4,liao2,zhi4 liao2
6,滞留,zhìliú,to detain; retention,,2,滞,留,zhi4,liu2,zhi4 liu2
6,智能,zhìnéng,"intelligent; able; smart (phone, system, bomb etc)",,2,智,能,zhi4,neng2,zhi4 neng2
