hsk,characters,pinyin,english,extra,len,c1,c2,p1,p2,pinyin_num
3,阿姨,āyí,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one\'s parents (term of address used by child); CL:個|个[ge4],,2,阿,姨,a1,yi2,a1 yi2
3,啊,a,"modal particle ending sentence, showing affirmation, approval, or consent",,1,啊,,a5,,a5
5,唉,āi,"interjection or grunt of agreement or recognition (e.g. yes, it\'s me!); to sigh",,1,唉,,ai1,,ai1
6,哎哟,āiyō,hey; ow; ouch; interjection of pain or surprise,,2,哎,哟,ai1,yo1,ai1 yo1
6,挨,āi,to suffer from; to endure; to tide over (a difficult period); to delay,,1,挨,,ai2,,ai2
6,癌症,áizhèng,cancer,,2,癌,症,ai2,zheng4,ai2 zheng4
3,矮,ǎi,low; short (in length),,1,矮,,ai3,,ai3
1,爱,ài,to love; affection; to be fond of; to like,,1,爱,,ai4,,ai4
6,爱不释手,àibùshìshǒu,to love sth too much to part with it (idiom); to fondle admiringly,,4,爱,不,ai4,bu4,ai4 bu4 shi4 shou3
6,爱戴,àidài,to love and respect; love and respect,,2,爱,戴,ai4,dai4,ai4 dai4
3,爱好,àihào,to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[ge4],,2,爱,好,ai4,hao4,ai4 hao4
5,爱护,àihù,to cherish; to treasure; to take care of; to love and protect,,2,爱,护,ai4,hu4,ai4 hu4
6,暧昧,àimèi,vague; ambiguous; equivocal; dubious,,2,暧,昧,ai4,mei4,ai4 mei4
4,爱情,àiqíng,romance; love (romantic); CL:個|个[ge4],,2,爱,情,ai4,qing2,ai4 qing2
5,爱惜,àixī,to cherish; to treasure; to use sparingly,,2,爱,惜,ai4,xi1,ai4 xi1
5,爱心,àixīn,compassion; CL:片[pian4],,2,爱,心,ai4,xin1,ai4 xin1
3,安静,ānjìng,quiet; peaceful; calm,,2,安,静,an1,jing4,an1 jing4
6,安居乐业,ānjūlèyè,live in peace and work happily (idiom),,4,安,居,an1,ju1,an1 ju1 le4 ye4
6,安宁,ānníng,peaceful; tranquil; calm; composed,,2,安,宁,an1,ning2,an1 ning2
4,安排,ānpái,to arrange; to plan; to set up,,2,安,排,an1,pai2,an1 pai2
4,安全,ānquán,safe; secure; safety; security,,2,安,全,an1,quan2,an1 quan2
5,安慰,ānwèi,to comfort; to console; CL:個|个[ge4],,2,安,慰,an1,wei4,an1 wei4
6,安详,ānxiáng,serene,,2,安,详,an1,xiang2,an1 xiang2
6,安置,ānzhì,find a place for; help settle down; arrange for; to get into bed; placement,,2,安,置,an1,zhi4,an1 zhi4
5,安装,ānzhuāng,install; erect; fix; mount; installation,,2,安,装,an1,zhuang1,an1 zhuang1
5,岸,àn,bank; shore; beach; coast; CL:個|个[ge4],,1,岸,,an4,,an4
4,暗,àn,dark; gloomy; hidden; secret; muddled; obscure; in the dark,,1,暗,,an4,,an4
6,案件,ànjiàn,"law case; legal case; judicial case; CL:宗[zong1],樁|桩[zhuang1],起[qi3]",,2,案,件,an4,jian4,an4 jian4
6,案例,ànlì,case (law); CL:個|个[ge4],,2,案,例,an4,li4,an4 li4
6,按摩,ànmó,massage,,2,按,摩,an4,mo2,an4 mo2
4,按时,ànshí,on time; before deadline; on schedule,,2,按,时,an4,shi2,an4 shi2
6,暗示,ànshì,to hint; to suggest; suggestion; a hint,,2,暗,示,an4,shi4,an4 shi4
4,按照,ànzhào,according to; in accordance with; in the light of; on the basis of,,2,按,照,an4,zhao4,an4 zhao4
6,昂贵,ángguì,expensive; costly,,2,昂,贵,ang2,gui4,ang2 gui4
6,凹凸,āotū,bumpy; uneven; slotted and tabbed joint; crenelation,,2,凹,凸,ao1,tu1,ao1 tu1
6,熬,áo,(of cooking) to boil for a long time; to endure; to suffer,,1,熬,,ao2,,ao2
6,奥秘,àomì,profound; deep; a mystery,,2,奥,秘,ao4,mi4,ao4 mi4
1,八,bā,eight; 8,,1,八,,ba1,,ba1
6,扒,bā,to hold on to; to cling to; to dig up; to rake; to push aside; to climb; to pull out; to strip off,,1,扒,,ba1,,ba1
6,疤,bā,scar,,1,疤,,ba1,,ba1
6,巴不得,bābude,to be eager for; to long for; to look forward to,,3,巴,不,ba1,bu4,ba1 bu4 de2
6,巴结,bājie,to fawn on; to curry favor with; to make up to,,2,巴,结,ba1,jie5,ba1 jie5
6,拔苗助长,bámiáozhùzhǎng,to spoil things through excessive enthusiasm (idiom),,4,拔,苗,ba2,miao2,ba2 miao2 zhu4 zhang3
3,把,bǎ,to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle,,1,把,,ba3,,ba3
6,把关,bǎguān,to guard a pass; to check on sth,,2,把,关,ba3,guan1,ba3 guan1
6,把手,bǎshǒu,handle; grip; knob,,2,把,手,ba3,shou3,ba3 shou3
5,把握,bǎwò,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),,2,把,握,ba3,wo4,ba3 wo4
6,把戏,bǎxì,acrobatics; jugglery; cheap trick; game,,2,把,戏,ba3,xi4,ba3 xi4
1,爸爸,bàba,"(informal) father; CL:個|个[ge4],位[wei4]",,2,爸,爸,ba4,ba5,ba4 ba5
6,霸道,bàdào,"the Way of the Hegemon, abbr. of 霸王之道; despotic rule; rule by might; evil as opposed to the Way of the King 王道; overbearing; tyranny; (of liquor, medicine etc) strong; potent",,2,霸,道,ba4,dao4,ba4 dao4
6,罢工,bàgōng,a strike; to go on strike,,2,罢,工,ba4,gong1,ba4 gong1
2,吧,ba,(modal particle indicating polite suggestion); ...right?; ...OK?,,1,吧,,ba5,,ba5
6,掰,bāi,to break with both hands,,1,掰,,bai1,,bai1
2,白,bái,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,,1,白,,bai2,,bai2
5,摆,bǎi,to arrange; to exhibit; to move to and fro; a pendulum,,1,摆,,bai3,,bai3
2,百,bǎi,hundred; numerous; all kinds of; surname Bai,,1,百,,bai3,,bai3
6,百分点,bǎifēndiǎn,percentage point,,3,百,分,bai3,fen1,bai3 fen1 dian3
6,摆脱,bǎituō,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself,,2,摆,脱,bai3,tuo1,bai3 tuo1
6,拜访,bàifǎng,pay a visit; call on,,2,拜,访,bai4,fang3,bai4 fang3
6,败坏,bàihuài,to ruin; to corrupt; to undermine,,2,败,坏,bai4,huai4,bai4 huai4
6,拜年,bàinián,pay a New Year call; wish sb a Happy New Year,,2,拜,年,bai4,nian2,bai4 nian2
6,拜托,bàituō,request sb to do sth; please!,,2,拜,托,bai4,tuo1,bai4 tuo1
3,搬,bān,to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically,,1,搬,,ban1,,ban1
3,班,bān,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[ge4],,1,班,,ban1,,ban1
6,颁布,bānbù,"to issue; to proclaim; to enact (laws, decrees etc)",,2,颁,布,ban1,bu4,ban1 bu4
6,颁发,bānfā,issue; promulgate; award,,2,颁,发,ban1,fa1,ban1 fa1
6,斑纹,bānwén,stripe; streak,,2,斑,纹,ban1,wen2,ban1 wen2
5,班主任,bānzhǔrèn,a teacher in charge of a class,,3,班,主,ban1,zhu3,ban1 zhu3 ren4
6,版本,bǎnběn,version; edition; release,,2,版,本,ban3,ben3,ban3 ben3
3,半,bàn,half; semi-; incomplete; (after a number) and a half,,1,半,,ban4,,ban4
3,办法,bànfǎ,"means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]",,2,办,法,ban4,fa3,ban4 fa3
3,办公室,bàngōngshì,an office; business premises; a bureau; CL:間|间[jian1],,3,办,公,ban4,gong1,ban4 gong1 shi4
5,办理,bànlǐ,to handle; to transact; to conduct,,2,办,理,ban4,li3,ban4 li3
6,伴侣,bànlǚ,companion; mate; partner,,2,伴,侣,ban4,lv3,ban4 lv3
6,伴随,bànsuí,to accompany; to follow; to occur together with; attendant,,2,伴,随,ban4,sui2,ban4 sui2
6,半途而废,bàntú'érfèi,to give up halfway (idiom); leave sth unfinished,,4,半,途,ban4,tu2,ban4 tu2 er2 fei4
6,扮演,bànyǎn,play the part of; act,,2,扮,演,ban4,yan3,ban4 yan3
3,帮忙,bāngmáng,to help; to lend a hand; to do a favor; to do a good turn,,2,帮,忙,bang1,mang2,bang1 mang2
2,帮助,bāngzhù,assistance; aid; to help; to assist,,2,帮,助,bang1,zhu4,bang1 zhu4
6,绑架,bǎngjià,to kidnap; to abduct; to hijack; a kidnapping; abduction; staking,,2,绑,架,bang3,jia4,bang3 jia4
6,榜样,bǎngyàng,example; model; CL:個|个[ge4],,2,榜,样,bang3,yang4,bang3 yang4
5,棒,bàng,a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,,1,棒,,bang4,,bang4
6,磅,bàng,"see 磅秤 scale; platform balance; pound (unit of weight, about 454 grams)",,1,磅,,bang4,,bang4
5,傍晚,bàngwǎn,in the evening; when night falls; towards evening; at night fall; at dusk,,2,傍,晚,bang4,wan3,bang4 wan3
3,包,bāo,"to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[ge4],隻|只[zhi1]",,1,包,,bao1,,bao1
6,包庇,bāobì,shield; harbor; cover up,,2,包,庇,bao1,bi4,bao1 bi4
6,包袱,bāofu,cloth-wrapper; a bundle wrapped in cloth; load; weight; burden,,2,包,袱,bao1,fu5,bao1 fu5
5,包裹,bāoguǒ,wrap up; bind up; bundle; parcel; package; CL:個|个[ge4],,2,包,裹,bao1,guo3,bao1 guo3
5,包含,bāohán,to contain; to embody; to include,,2,包,含,bao1,han2,bao1 han2
4,包括,bāokuò,to comprise; to include; to involve; to incorporate; to consist of,,2,包,括,bao1,kuo4,bao1 kuo4
6,包围,bāowéi,to surround; to encircle; to hem in,,2,包,围,bao1,wei2,bao1 wei2
6,包装,bāozhuāng,pack; package,,2,包,装,bao1,zhuang1,bao1 zhuang1
5,包子,bāozi,steamed stuffed bun; CL:個|个[ge4],,2,包,子,bao1,zi5,bao1 zi5
5,薄,báo,thin; cold in manner; indifferent; weak; light; infertile,,1,薄,,bao2,,bao2
3,饱,bǎo,to eat till full; satisfied,,1,饱,,bao3,,bao3
5,宝贝,bǎobèi,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character,,2,宝,贝,bao3,bei4,bao3 bei4
5,保持,bǎochí,to keep; to maintain; to hold; to preserve,,2,保,持,bao3,chi2,bao3 chi2
5,保存,bǎocún,to conserve; to preserve; to keep; to save (a file etc) (computing),,2,保,存,bao3,cun2,bao3 cun2
6,保管,bǎoguǎn,to assure; to guarantee; to take care of; to safeguard; certainly; surely,,2,保,管,bao3,guan3,bao3 guan3
5,宝贵,bǎoguì,valuable; precious; value; treasure; set store by,,2,宝,贵,bao3,gui4,bao3 gui4
6,饱和,bǎohé,saturation,,2,饱,和,bao3,he2,bao3 he2
4,保护,bǎohù,to protect; to defend; to safeguard; protection; CL:種|种[zhong3],,2,保,护,bao3,hu4,bao3 hu4
6,饱经沧桑,bǎojīngcāngsāng,having lived through many changes,,4,饱,经,bao3,jing1,bao3 jing1 cang1 sang1
5,保留,bǎoliú,to retain; to continue to have; to preserve; to maintain; to reserve; reservations; to hold back (approval or acceptance),,2,保,留,bao3,liu2,bao3 liu2
6,保密,bǎomì,to keep sth confidential; to maintain secrecy,,2,保,密,bao3,mi4,bao3 mi4
6,保姆,bǎomǔ,nanny; housekeeper,,2,保,姆,bao3,mu3,bao3 mu3
6,保守,bǎoshǒu,(politically) conservative; to guard; to keep,,2,保,守,bao3,shou3,bao3 shou3
6,保卫,bǎowèi,to defend; to safeguard,,2,保,卫,bao3,wei4,bao3 wei4
5,保险,bǎoxiǎn,insurance; to insure; safe; secure; be sure; be bound to; CL:份[fen4],,2,保,险,bao3,xian3,bao3 xian3
6,保养,bǎoyǎng,to take good care of (or conserve) one\'s health; to keep in good repair; to maintain; maintenance,,2,保,养,bao3,yang3,bao3 yang3
6,保障,bǎozhàng,to ensure; to guarantee; to safeguard,,2,保,障,bao3,zhang4,bao3 zhang4
4,保证,bǎozhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[ge4],,2,保,证,bao3,zheng4,bao3 zheng4
6,保重,bǎozhòng,take care of oneself,,2,保,重,bao3,zhong4,bao3 zhong4
4,抱,bào,to hold; to carry (in one\'s arms); to hug or embrace; surround; cherish,,1,抱,,bao4,,bao4
6,报仇,bàochóu,to revenge (oneself); to avenge,,2,报,仇,bao4,chou2,bao4 chou2
6,报酬,bàochou,reward; remuneration,,2,报,酬,bao4,chou5,bao4 chou5
6,报答,bàodá,to repay; to requite,,2,报,答,bao4,da2,bao4 da2
6,报到,bàodào,report for duty; check in; register,,2,报,到,bao4,dao4,bao4 dao4
4,报道,bàodào,"report; CL:篇[pian1],份[fen4]",,2,报,道,bao4,dao4,bao4 dao4
6,爆发,bàofā,to break out; to erupt; to explode; to burst out,,2,爆,发,bao4,fa1,bao4 fa1
6,报复,bàofù,to make reprisals; to retaliate; revenge; retaliation,,2,报,复,bao4,fu4,bao4 fu4
6,抱负,bàofù,aspiration; ambition,,2,抱,负,bao4,fu4,bao4 fu4
5,报告,bàogào,"to inform; report; make known; speech; talk; lecture; CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]",,2,报,告,bao4,gao4,bao4 gao4
6,曝光,pùguāng,exposure (e.g. of photosensitive material); to expose (a scandal to the public),,2,曝,光,bao4,guang1,bao4 guang1
6,暴力,bàolì,violence; (use) force; violent,,2,暴,力,bao4,li4,bao4 li4
6,暴露,bàolù,to expose; to reveal; to lay bare,,2,暴,露,bao4,lu4,bao4 lu4
4,报名,bàomíng,to sign up; to enter one\'s name; to apply; to register; to enroll; to enlist,,2,报,名,bao4,ming2,bao4 ming2
4,抱歉,bàoqiàn,sorry; We apologize!; to feel apologetic; to regret,,2,抱,歉,bao4,qian4,bao4 qian4
6,报社,bàoshè,general office of a newspaper; newspaper office; CL:家[jia1],,2,报,社,bao4,she4,bao4 she4
6,报销,bàoxiāo,submit an expense account; apply for reimbursement; write-off; wipe out,,2,报,销,bao4,xiao1,bao4 xiao1
6,抱怨,bàoyuàn,to complain; to grumble,,2,抱,怨,bao4,yuan4,bao4 yuan4
6,爆炸,bàozhà,explosion; to explode; to blow up; to detonate,,2,爆,炸,bao4,zha4,bao4 zha4
2,报纸,bàozhǐ,"newspaper; newsprint; CL:份[fen4],期[qi1],張|张[zhang1]",,2,报,纸,bao4,zhi3,bao4 zhi3
6,悲哀,bēi'āi,grieved; sorrowful,,2,悲,哀,bei1,ai1,bei1 ai1
6,卑鄙,bēibǐ,base; mean; contemptible; despicable,,2,卑,鄙,bei1,bi3,bei1 bi3
6,悲惨,bēicǎn,miserable; tragic,,2,悲,惨,bei1,can3,bei1 can3
5,悲观,bēiguān,pessimistic,,2,悲,观,bei1,guan1,bei1 guan1
1,杯子,bēizi,"cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]",,2,杯,子,bei1,zi5,bei1 zi5
3,北方,běifāng,north; the northern part a country; China north of the Yellow River,,2,北,方,bei3,fang1,bei3 fang1
6,北极,běijí,the North Pole; the Arctic Pole; the north magnetic pole,,2,北,极,bei3,ji2,bei3 ji2
1,北京,Běijīng,"Beijing, capital of People\'s Republic of China; Peking; PRC government",,2,北,京,Bei3,jing1,Bei3 jing1
5,倍,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",,1,倍,,bei4,,bei4
4,被,bèi,by (indicates passive-voice sentences or clauses); quilt; to cover (literary),,1,被,,bei4,,bei4
3,背,bèi,the back of a body or object; to turn one\'s back; to hide something from; to learn by heart; to recite from memory,,1,背,,bei4,,bei4
6,被动,bèidòng,passive,,2,被,动,bei4,dong4,bei4 dong4
6,备份,bèifèn,backup,,2,备,份,bei4,fen4,bei4 fen4
6,被告,bèigào,defendant,,2,被,告,bei4,gao4,bei4 gao4
5,背景,bèijǐng,background; backdrop; context; CL:種|种[zhong3],,2,背,景,bei4,jing3,bei4 jing3
6,贝壳,bèiké,"shell; conch; cowry; mother of pearl; hard outer skin; alternative reading bei4 qiao4, mostly written",,2,贝,壳,bei4,ke2,bei4 ke2
6,背叛,bèipàn,to betray,,2,背,叛,bei4,pan4,bei4 pan4
6,背诵,bèisòng,recite; repeat from memory,,2,背,诵,bei4,song4,bei4 song4
6,备忘录,bèiwànglù,memorandum; aide-memoire; memorandum book,,3,备,忘,bei4,wang4,bei4 wang4 lu4
5,被子,bèizi,quilt; CL:床[chuang2],,2,被,子,bei4,zi5,bei4 zi5
6,奔波,bēnbō,rush about; be busy running about,,2,奔,波,ben1,bo1,ben1 bo1
6,奔驰,bēnchí,"to run quickly; to travel quickly; to move fast; Mercedes-Benz, German car make",,2,奔,驰,ben1,chi2,ben1 chi2
1,本,běn,"roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally",,1,本,,ben3,,ben3
5,本科,běnkē,undergraduate course; undergraduate (adjective),,2,本,科,ben3,ke1,ben3 ke1
4,本来,běnlái,original; originally; at first; it goes without saying; of course,,2,本,来,ben3,lai2,ben3 lai2
5,本领,běnlǐng,"skill; ability; capability; CL:項|项[xiang4],個|个[ge4]",,2,本,领,ben3,ling3,ben3 ling3
6,本能,běnnéng,instinct,,2,本,能,ben3,neng2,ben3 neng2
6,本钱,běnqián,capital,,2,本,钱,ben3,qian2,ben3 qian2
6,本人,běnrén,the person himself; I (humble form used in speeches); oneself; myself; in person; personal,,2,本,人,ben3,ren2,ben3 ren2
6,本身,běnshēn,itself; in itself; per se,,2,本,身,ben3,shen1,ben3 shen1
6,本事,běnshi,ability; skill; source material; original story,,2,本,事,ben3,shi5,ben3 shi5
6,本着,běnzhe,based on...; in conformance with..; taking as one\'s main principle,,2,本,着,ben3,zhe5,ben3 zhe5
5,本质,běnzhì,essence; nature; innate character; intrinsic quality,,2,本,质,ben3,zhi4,ben3 zhi4
4,笨,bèn,stupid; foolish; silly; slow-witted; clumsy,,1,笨,,ben4,,ben4
6,笨拙,bènzhuō,clumsy; awkward; stupid,,2,笨,拙,ben4,zhuo1,ben4 zhuo1
6,崩溃,bēngkuì,to collapse; to crumble; to fall apart,,2,崩,溃,beng1,kui4,beng1 kui4
6,甭,béng,need not; (contraction of 不 and 用),,1,甭,,beng2,,beng2
6,蹦,bèng,to jump; to bounce; to hop,,1,蹦,,beng4,,beng4
6,迸发,bèngfā,to burst out; to gush; to spurt,,2,迸,发,beng4,fa1,beng4 fa1
6,逼迫,bīpò,to force; to compel; to coerce,,2,逼,迫,bi1,po4,bi1 po4
6,鼻涕,bítì,nasal mucus; snivel,,2,鼻,涕,bi2,ti4,bi2 ti4
3,鼻子,bízi,"nose; CL:個|个[ge4],隻|只[zhi1]",,2,鼻,子,bi2,zi5,bi2 zi5
2,比,bǐ,"(particle used for comparison and ""-er than""); to compare; to contrast; to gesture (with hands); ratio",,1,比,,bi3,,bi3
5,彼此,bǐcǐ,each other; one another,,2,彼,此,bi3,ci3,bi3 ci3
6,比方,bǐfang,analogy; instance,,2,比,方,bi3,fang5,bi3 fang5
4,笔记本,bǐjìběn,notebook; CL:本[ben3],,3,笔,记,bi3,ji4,bi3 ji4 ben3
3,比较,bǐjiào,compare; contrast; fairly; comparatively; relatively; quite; rather,,2,比,较,bi3,jiao4,bi3 jiao4
5,比例,bǐlì,proportion; scale,,2,比,例,bi3,li4,bi3 li4
5,比如,bǐrú,for example; for instance; such as,,2,比,如,bi3,ru2,bi3 ru2
3,比赛,bǐsài,"competition (sports etc); match; CL:場|场[chang3],次[ci4]",,2,比,赛,bi3,sai4,bi3 sai4
6,比喻,bǐyù,metaphor; analogy; figure of speech; figuratively,,2,比,喻,bi3,yu4,bi3 yu4
6,比重,bǐzhòng,proportion; specific gravity,,2,比,重,bi3,zhong4,bi3 zhong4
6,臂,bì,arm,,1,臂,,bi4,,bi4
6,弊病,bìbìng,malady; evil; malpractice; drawback; disadvantage,,2,弊,病,bi4,bing4,bi4 bing4
6,必定,bìdìng,be bound to; be sure to,,2,必,定,bi4,ding4,bi4 ding4
6,弊端,bìduān,malpractice; abuse; corrupt practice,,2,弊,端,bi4,duan1,bi4 duan1
5,毕竟,bìjìng,after all; all in all; when all is said and done; in the final analysis,,2,毕,竟,bi4,jing4,bi4 jing4
5,避免,bìmiǎn,to avert; to prevent; to avoid; to refrain from,,2,避,免,bi4,mian3,bi4 mian3
5,必然,bìrán,inevitable; certain; necessity,,2,必,然,bi4,ran2,bi4 ran2
6,闭塞,bìsè,stop up; close up; hard to get to; out of the way; inaccessible; unenlightened; blocking,,2,闭,塞,bi4,se4,bi4 se4
5,必需,bìxū,to need; to require; essential; indispensable,,2,必,需,bi4,xu1,bi4 xu1
3,必须,bìxū,to have to; must; compulsory; necessarily,,2,必,须,bi4,xu1,bi4 xu1
5,必要,bìyào,necessary; essential; indispensable; required,,2,必,要,bi4,yao4,bi4 yao4
4,毕业,bìyè,graduation; to graduate; to finish school,,2,毕,业,bi4,ye4,bi4 ye4
6,碧玉,bìyù,jasper,,2,碧,玉,bi4,yu4,bi4 yu4
6,鞭策,biāncè,to spur on; to urge on; to encourage sb (e.g. to make progress),,2,鞭,策,bian1,ce4,bian1 ce4
5,编辑,biānjí,to edit; to compile; editor; compiler,,2,编,辑,bian1,ji2,bian1 ji2
6,边疆,biānjiāng,border area; borderland; frontier; frontier region,,2,边,疆,bian1,jiang1,bian1 jiang1
6,边界,biānjiè,boundary; border,,2,边,界,bian1,jie4,bian1 jie4
6,边境,biānjìng,frontier; border,,2,边,境,bian1,jing4,bian1 jing4
5,鞭炮,biānpào,firecrackers; a string of small firecrackers; CL:枚[mei2],,2,鞭,炮,bian1,pao4,bian1 pao4
6,边缘,biānyuán,edge; fringe; verge; brink; periphery; marginal; borderline,,2,边,缘,bian1,yuan2,bian1 yuan2
6,编织 ,biānzhī ,to weave; to knit; to plait; to braid,,3,编,织,bian1,zhi1,bian1 zhi1
6,扁,biǎn,"flat; (old form of character 匾, horizontal tablet with inscription)",,1,扁,,bian3,,bian3
6,贬低,biǎndī,to belittle; to disparage; to play down; to demean; to degrade; to devalue,,2,贬,低,bian3,di1,bian3 di1
6,贬义,biǎnyì,derogatory sense; negative connotation,,2,贬,义,bian3,yi4,bian3 yi4
5,便,biàn,ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards,,1,便,,bian4,,bian4
4,遍,biàn,a time; everywhere; turn; all over; one time,,1,遍,,bian4,,bian4
6,遍布,biànbù,to cover the whole (area); to be found throughout,,2,遍,布,bian4,bu4,bian4 bu4
6,变故,biàngù,an unforeseen event; accident; misfortune,,2,变,故,bian4,gu4,bian4 gu4
6,辩护,biànhù,to speak in defense of; to argue in favor of; to defend; to plead,,2,辩,护,bian4,hu4,bian4 hu4
3,变化,biànhuà,change; variation; to change; to vary; CL:個|个[ge4],,2,变,化,bian4,hua4,bian4 hua4
6,辩解,biànjiě,to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself,,2,辩,解,bian4,jie3,bian4 jie3
6,便利,biànlì,convenient; easy; facilitate,,2,便,利,bian4,li4,bian4 li4
5,辩论,biànlùn,"debate; argument; to argue over; CL:場|场[chang3],次[ci4]",,2,辩,论,bian4,lun4,bian4 lun4
6,变迁,biànqiān,changes; vicissitudes,,2,变,迁,bian4,qian1,bian4 qian1
6,辨认,biànrèn,to recognize; to identify,,2,辨,认,bian4,ren4,bian4 ren4
6,便条,biàntiáo,"(informal) note; CL:張|张[zhang1],個|个[ge4]",,2,便,条,bian4,tiao2,bian4 tiao2
6,便于,biànyú,easy to; convenient for,,2,便,于,bian4,yu2,bian4 yu2
6,辩证,biànzhèng,investigate; dialectical,,2,辩,证,bian4,zheng4,bian4 zheng4
6,变质,biànzhì,to degenerate; to go bad; to deteriorate; metamorphosis,,2,变,质,bian4,zhi4,bian4 zhi4
6,辫子,biànzi,"plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle; CL:根[gen1],條|条[tiao2]",,2,辫,子,bian4,zi5,bian4 zi5
6,标本,biāoběn,specimen; sample; the root cause and symptoms of a disease,,2,标,本,biao1,ben3,biao1 ben3
5,标点,biāodiǎn,punctuation; a punctuation mark; to punctuate; CL:個|个[ge4],,2,标,点,biao1,dian3,biao1 dian3
6,标记,biāojì,sign; mark; symbol; to mark up,,2,标,记,biao1,ji4,biao1 ji4
6,飙升,biāoshēng,to rise rapidly; to soar,,2,飙,升,biao1,sheng1,biao1 sheng1
6,标题,biāotí,title; heading; headline; caption; subject,,2,标,题,biao1,ti2,biao1 ti2
5,标志,biāozhì,sign; mark; symbol; symbolize; to indicate; to mark,,2,标,志,biao1,zhi4,biao1 zhi4
4,标准,biāozhǔn,(an official) standard; norm; criterion; CL:個|个[ge4],,2,标,准,biao1,zhun3,biao1 zhun3
4,表达,biǎodá,to voice (an opinion); to express; to convey,,2,表,达,biao3,da2,biao3 da2
4,表格,biǎogé,"form; table; CL:張|张[zhang1],份[fen4]",,2,表,格,biao3,ge2,biao3 ge2
6,表决,biǎojué,decide by vote; vote,,2,表,决,biao3,jue2,biao3 jue2
5,表面,biǎomiàn,surface; face; outside; appearance,,2,表,面,biao3,mian4,biao3 mian4
5,表明,biǎomíng,to make clear; to make known; to state clearly; to indicate; known,,2,表,明,biao3,ming2,biao3 ming2
5,表情,biǎoqíng,(facial) expression; to express one\'s feelings; expression,,2,表,情,biao3,qing2,biao3 qing2
3,表示,biǎoshì,to express; to show; to say; to state; to indicate; to mean,,2,表,示,biao3,shi4,biao3 shi4
6,表态,biǎotài,to declare one\'s position; to say where one stands,,2,表,态,biao3,tai4,biao3 tai4
5,表现,biǎoxiàn,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc),,2,表,现,biao3,xian4,biao3 xian4
3,表演,biǎoyǎn,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chang3],,2,表,演,biao3,yan3,biao3 yan3
4,表扬,biǎoyáng,to praise; to commend,,2,表,扬,biao3,yang2,biao3 yang2
6,表彰,biǎozhāng,cite (in dispatches); commend,,2,表,彰,biao3,zhang1,biao3 zhang1
6,憋,biē,to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one\'s breath),,1,憋,,bie1,,bie1
2,别,bié,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin,,1,别,,bie2,,bie2
6,别人,biéren,other people; others; other person,,2,别,人,bie2,ren5,bie2 ren5
6,别墅,biéshù,"villa; CL:幢[zhuang4],座[zuo4]",,2,别,墅,bie2,shu4,bie2 shu4
6,别致,biézhì,unusual; unique,,2,别,致,bie2,zhi4,bie2 zhi4
6,别扭,bièniu,awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche; awkward (writing or speech),,2,别,扭,bie4,niu5,bie4 niu5
3,宾馆,bīnguǎn,"guesthouse; CL:個|个[ge4],家[jia1]",,2,宾,馆,bin1,guan3,bin1 guan3
6,濒临,bīnlín,on the verge of; close to,,2,濒,临,bin1,lin2,bin1 lin2
6,冰雹,bīngbáo,"hail; hailstone; CL:場|场[chang2],粒[li4]",,2,冰,雹,bing1,bao2,bing1 bao2
3,冰箱,bīngxiāng,"icebox; freezer cabinet; refrigerator; CL:臺|台[tai2],個|个[ge4]",,2,冰,箱,bing1,xiang1,bing1 xiang1
